Date,Merchant,Amount,Location,Transaction,Type
2026-08-26T10:30:43Z,MEIJER  162,$24.46,"Meijer, 162, 9905 Dixie Hwy, Louisville, Ky Us",DEBIT,FOOD PURCHASE
2026-08-26T10:18:40Z,MEIJER  162,$20.62,"Meijer, 162, 9905 Dixie Hwy, Louisville, Ky Us",DEBIT,FOOD PURCHASE
2026-08-25T11:40:58Z,WAL-MART #4524,$19.44,"Wal-mart #4524, 5360 Dixie Hwy, Louisville, Ky Us",DEBIT,FOOD PURCHASE
2026-08-24T08:09:35Z,WM SUPERCENTER #,$75.45,"Wm Supercenter #, 5360 Dixie Hwy, Louisville, Ky Us",DEBIT,FOOD PURCHASE
2026-08-21T10:07:26Z,WM SUPERCENTER #,$34.70,"Wm Supercenter #, 5360 Dixie Hwy, Louisville, Ky Us",DEBIT,FOOD PURCHASE
2026-08-19T11:22:46Z,SAMSCLUB #8276,$196.68,"Samsclub #8276, 6622 Preston Hwy, Louisville, Ky Us",DEBIT,FOOD PURCHASE
2026-08-17T11:10:48Z,WM SUPERCENTER #,$36.97,"Wm Supercenter #, 5360 Dixie Hwy, Louisville, Ky Us",DEBIT,FOOD PURCHASE
2026-08-16T12:50:31Z,MEIJER  162,$6.59,"Meijer, 162, 9905 Dixie Hwy, Louisville, Ky Us",DEBIT,FOOD PURCHASE
2026-07-27T12:21:41Z,SAMS CLUB #8276,$199.71,"Sams Club #8276, 6622 Preston Hwy, Louisville, Ky Us",DEBIT,FOOD PURCHASE
2026-07-27T12:09:04Z,SAMS CLUB #8276,$165.50,"Sams Club #8276, 6622 Preston Hwy, Louisville, Ky Us",DEBIT,FOOD PURCHASE
2026-07-24T09:57:02Z,WAL-MART #4524,$28.34,"Wal-mart #4524, 5360 Dixie Hwy, Louisville, Ky Us",DEBIT,FOOD PURCHASE
2026-07-21T14:27:14Z,WM SUPERCENTER #,$7.98,"Wm Supercenter #, 5360 Dixie Hwy, Louisville, Ky Us",DEBIT,FOOD PURCHASE
2026-07-17T14:56:19Z,WM SUPERCENTER #,$19.86,"Wm Supercenter #, 5360 Dixie Hwy, Louisville, Ky Us",DEBIT,FOOD PURCHASE
2026-07-17T13:31:16Z,SAMS CLUB #8276,$44.38,"Sams Club #8276, 6622 Preston Hwy, Louisville, Ky Us",DEBIT,FOOD PURCHASE
2026-07-15T15:13:28Z,KROGER #785,$50.02,"Kroger #785, 4915a Dixie Highway, Louisville, Ky Us",DEBIT,FOOD PURCHASE
2026-07-01T14:03:40Z,WAL-MART #4524,$30.91,"Wal-mart #4524, 5360 Dixie Hwy, Louisville, Ky Us",DEBIT,FOOD PURCHASE
2026-06-30T12:13:14Z,KROGER #785,$38.34,"Kroger #785, 4915a Dixie Highway, Louisville, Ky Us",DEBIT,FOOD PURCHASE
2026-06-23T15:13:45Z,WAL-MART #4524,$12.86,"Wal-mart #4524, 5360 Dixie Hwy, Louisville, Ky Us",DEBIT,FOOD PURCHASE
2026-06-22T11:53:35Z,SAMS CLUB #8276,$165.00,"Sams Club #8276, Sam's Club, Louisville, Ky Us",DEBIT,FOOD PURCHASE
2026-06-21T11:38:49Z,KROGER #785,$36.26,"Kroger #785, 4915a Dixie Highway, Louisville, Ky Us",DEBIT,FOOD PURCHASE
