Date,Amount,Description,Category
2024-09-05,25.52,Viet Hoa Food M,groceries
2024-09-06,25.30,Kroger 7 4915A Dixie,groceries
2024-09-10,10.15,Kroger 785 4915A Dixie,groceries
2024-10-31,500.00,Venmo Payment,shopping
2024-10-31,255.00,Venmo Payment,shopping
2024-11-29,500.00,Venmo Payment,shopping
2024-11-29,255.00,Venmo Payment,shopping
2024-12-29,4.22,PAYPAL *STEAM GAMES,entertainment
2024-12-31,15.14,WM SUPERCENTER #4524,shopping
2025-01-02,500.00,Venmo Payment,shopping
2025-01-02,255.00,Venmo Payment,shopping
2025-01-02,45.00,Venmo Payment,shopping
2025-01-03,22.65,KROGER FUEL #8785,groceries
2025-01-03,-100.00,Refund: CAPITAL ONE MOBILE PYMT,transport
2025-01-11,10.65,APPLE.COM/BILL,bills
2025-01-12,10.65,PP*GOOGLE ROBLOX,shopping
2025-01-12,9.99,PAYPAL *ROBLOXCORPO,shopping
2025-01-14,2.12,APPLE.COM/BILL,bills
2025-01-14,31.15,INTEREST CHARGE:PURCHASES,bills
2025-01-21,9.53,PAYPAL *STEAM GAMES,entertainment
2025-01-21,51.05,WM SUPERCENTER #5417,shopping
2025-01-21,32.55,CIRCLE K 03228,transport
2025-01-22,5.00,PAYPAL *PATREON INC  MEMB,entertainment
2025-01-22,21.20,OPENAI *CHATGPT SUBSCR,shopping
2025-01-23,29.32,DENNY'S #8769,shopping
2025-01-23,15.89,BLIZZARD *US979661638,shopping
2025-01-24,-50.00,Refund: CAPITAL ONE MOBILE PYMT,transport
2025-01-24,-6.82,Refund: CREDIT-CASH BACK REWARD,shopping
2025-01-27,5.32,PP*GOOGLE ROBLOX,shopping
2025-01-27,28.66,KROGER #785,groceries
2025-01-28,40.55,KROGER #785,groceries
2025-01-28,28.07,TST* ROOSTERS  - DIXIE HW,fastfood
2025-01-29,5.30,SAMS CLUB #8276,shopping
2025-01-29,74.65,SAMSCLUB #8276,groceries
2025-01-29,26.63,VIET HOA FOOD MARKET,groceries
2025-01-29,34.70,KROGER FUEL #8785,groceries
2025-01-29,0.99,APPLE.COM/BILL,bills
2025-01-30,-100.00,Refund: CAPITAL ONE MOBILE PYMT,transport
2025-01-31,500.00,Venmo Payment,shopping
2025-01-31,300.00,Venmo Payment,shopping
2025-02-01,-200.00,Refund: CAPITAL ONE MOBILE PYMT,transport
2025-02-02,-50.00,Refund: CAPITAL ONE MOBILE PYMT,transport
2025-02-02,17.41,WM SUPERCENTER #4524,shopping
2025-02-02,22.71,KROGER #785,groceries
2025-02-04,9.99,ZYGORGUIDES.COM,shopping
