Date,Amount,Description,Category,Items
2026-06-14,31.64,Walmart,food,lettuce; tomato; milk; cherry can; chicken fingers x2
2026-06-14,8.87,Wawa,food,3 Drinks [too expensive]
2026-06-14,29.34,Jimmy Johns,food,4 Sandwiches; got one for free.
2026-06-17,12.17,RaceTrac,food,Pizza
2026-06-17,11.10,RaceTrac,food,Ice Cream for them.
2026-06-18,15.90,Planet Fitness,gym,
2026-06-18,15.90,Planet Fitness,gym,
2026-06-19,7.37,Amazon,bills,Apparently paid for Prime
2026-06-19,6.26,Circle K,food,2 Drinks; bag of Donettes
2026-06-19,3.49,Kroger,food,Buns
2026-06-19,44.14,Circle K,transport,Gas
2026-06-22,12.30,Sam’s,food,Pizza at Sams
2026-06-22,8.47,Oculus,entertainment,Logan?
2026-06-22,22.74,Amazon,food,Jim’s Father’s day Amazon card; I think.
2026-06-22,19.11,Amazon,food,Sunglasses
2026-06-23,12.86,Walmart,food,Salsa and Creamer
2026-06-24,10.48,Steam,entertainment,Sineus Arena
2026-06-24,0.99,Apple,bills,
2026-06-25,29.57,Papalino’s,food,Pizza
2026-06-25,94.53,Walmart,food,Groceries and x1 Monster at 2.88
2026-06-25,45.00,Amazon,food,A baby monitor : I
2026-06-28,7.93,Circle K,food,4 Drinks; two of them are meals.
2026-06-29,18.10,McDonalds,food,Order A
2026-06-29,9.31,McDonalds,food,Order B
2026-06-29,6.01,McDonalds,food,Ice Cream for 3
2026-06-29,10.60,Five Below,entertainment,Fuggler Mini
2026-06-30,39.95,Kroger,food,Candy for movies; and food items.
2026-06-30,33.15,Cinemark,entertainment,Toy Story 5 for 5
2026-06-30,32.10,Wendy’s,food,Wendy’s for 5
2026-06-30,3.35,Circle K,food,drinks
2026-07-01,425.00,July Rent and 100 Hold,bills,
2026-07-01,30.91,Using up EBT at Walmart,food,
2026-07-01,18.98,"Kids Squish blocks, Walmart",entertainment,
2026-07-01,95.21,Walmart,food,Groceries
2026-07-02,12.85,Circle K for three.,food,
2026-07-02,51.94,Planet Fitness,gym,
2026-07-03,65.51,Kroger,food,Soda Run
2026-07-03,22.72,Walmart,food,buns; lettuce; ham; Monster x1
2026-07-03,7.98,Blizzard. Diablo 4 Season Pass,entertainment,
2026-07-04,38.35,Jimmy John’s for 4,fastfood,
2026-07-04,2.10,Circle K,fastfood,drinks for 2
2026-07-05,3.59,Jimmy John’s DOB,fastfood,
2026-07-05,23.90,Kroger,food,clearance crap and pop-its
2026-07-05,6.86,"Kroger Rx. OME, Logan’s fever blister med.",gym,
2026-07-06,10.60,Sam’s Pizza Etc.,food,
2026-07-06,90.89,Sam’s Food Shopping,food,
